0	36.8	273	251	280	315	258	309	241	303	360	345	326
15	36.9	325	236	179	261	313	242	238	242	239	295	246
30	37.4	237	259	217	273	278	278	279	262	285	259	273
45	37	222	242	285	250	263	248	220	276	250	263	269
60	37	261	222	274	229	257	273	301	244	271	283	259
75	36.9	203	245	191	272	245	269	219	212	307	280	293
90	37.2	302	248	215	251	262	244	223	267	279	261	209
105	37	332	235	276	246	233	241	235	250	314	245	251
120	37	291	236	285	219	181	204	299	279	242	270	282
135	36.9	269	234	229	302	236	259	223	226	342	280	239
150	37.2	270	197	261	220	248	253	270	253	263	276	212
165	37.1	259	231	272	238	255	230	240	266	253	251	256
180	36.9	222	242	238	264	223	269	222	280	277	273	251
195	37	196	248	239	242	202	267	199	265	246	293	224
210	37.1	232	288	231	242	229	199	237	283	266	265	304
225	37.1	282	245	211	212	213	220	216	240	248	249	211
240	37.3	249	253	267	258	263	240	288	255	286	283	271
277.1	37	3221	3638	3736	4487	4609	4371	2878	3132	3009	1631	1517
288.9	37.3	4100	4147	4090	4922	4760	4958	3270	3174	3220	1476	1517
300.8	37.2	4197	4220	4387	5237	5298	5398	3457	3313	3216	1616	1509
312.6	36.9	4359	4656	4417	5266	5339	5478	3513	3439	3530	1653	1583
324.4	36.9	4367	4850	4430	5286	5589	5446	3377	3258	3431	1683	1586
336.2	37.1	4301	4804	4878	5668	5738	5553	3380	3472	3365	1620	1602
348.1	37	4501	4494	4659	5503	5493	5774	3367	3448	3495	1602	1508
360	37.1	4595	4557	4602	5739	5639	5555	3432	3445	3541	1748	1718
375	37.2	4529	4753	4551	5608	5923	5792	3470	3652	3683	1590	1617
390	37	4728	4906	4901	5618	5800	5830	3482	3598	3322	1547	1585
405	36.9	4486	4800	4841	5686	5697	5767	3598	3683	3679	1594	1639
420	37	4495	4973	4607	5536	5894	5704	3532	3612	3449	1662	1564
435	37.1	4470	5083	4774	5494	5687	5953	3460	3499	3475	1558	1525
450	36.9	4365	4681	4831	5689	5870	5858	3489	3498	3723	1635	1554
465	37	4566	5029	4653	5795	5866	5718	3594	3611	3574	1447	1603
480	36.9	4541	4731	4616	5567	5520	5549	3678	3500	3526	1628	1643
495	37.1	4372	4926	4891	5816	5914	5918	3653	3548	3471	1653	1535
510	37.1	4549	4725	4892	5903	5953	5873	3489	3725	3591	1589	1470
525	36.9	4433	4884	4685	5976	5751	5572	3330	3574	3483	1584	1441
540	36.9	4720	4906	4770	5425	5722	5619	3427	3627	3629	1458	1528
555	37	4516	4672	4679	5910	5756	5787	3579	3530	3446	1616	1494
570	37.2	4533	4850	4600	5919	5723	5683	3424	3519	3725	1375	1574
