0	36.9	377	299	328	325	343	328	349	383	339	317	374
15	36.9	205	293	292	285	308	229	301	235	332	281	314
30	36.9	275	304	277	295	271	290	255	313	302	257	301
45	37.3	311	286	288	330	288	295	242	271	248	283	277
60	36.9	254	319	256	288	206	242	266	303	283	288	308
75	37.1	278	211	274	228	223	298	306	246	287	283	285
90	36.9	271	308	271	267	299	283	252	255	260	310	336
105	37.1	255	244	253	234	297	283	207	294	289	329	253
120	37	273	327	294	327	250	292	319	286	276	283	303
135	37.1	277	273	336	315	296	244	315	316	328	287	281
150	36.9	270	249	291	296	328	263	305	217	293	279	276
165	37.1	275	269	307	307	265	268	252	258	234	296	228
180	37.3	288	283	274	272	316	273	302	249	302	275	274
216.4	36.9	3182	3370	3470	3859	4069	3776	2118	2026	2197	1616	1542
228.3	37.2	3804	3663	3940	4361	4462	4574	2044	2160	2156	1511	1571
240.2	37.3	3917	4295	4295	4639	4875	4707	2213	2121	2143	1553	1514
252.1	37.4	4027	4096	4341	4670	4754	4957	2226	2381	2395	1609	1706
264	37.3	4213	4357	4216	4889	4993	4823	2175	2189	2289	1528	1578
275.9	36.9	4301	4298	4320	5025	4958	5016	2214	2307	2281	1663	1577
287.7	36.9	4109	4466	4350	4796	5188	4986	2403	2363	2336	1667	1720
300	36.8	4180	4584	4325	4890	5071	5264	2424	2381	2177	1772	1654
315	37.1	4501	4444	4485	4942	5143	5153	2398	2342	2396	1473	1579
330	37.2	4418	4460	4466	4981	5151	5453	2324	2375	2401	1605	1583
345	37.1	4433	4546	4450	4999	5360	5283	2317	2525	2408	1594	1677
360	36.9	4462	4469	4526	5101	5218	5117	2520	2313	2516	1572	1601
375	36.9	4418	4674	4440	5201	5119	5269	2393	2338	2611	1762	1556
390	37.1	4494	4506	4469	5090	5239	5362	2362	2380	2517	1719	1715
405	37	4591	4511	4728	5106	5259	5415	2438	2486	2419	1563	1517
420	37	4305	4666	4276	5149	5281	5194	2406	2402	2423	1575	1535
435	36.8	4569	4583	4603	5217	5322	5163	2330	2401	2412	1591	1603
450	37.1	4250	4508	4558	5056	5169	5209	2417	2285	2454	1510	1588
