0	36.9	331	251	247	293	267	269	309	217	284	281	323
15	36.9	254	232	305	233	263	196	245	223	298	263	261
30	37.1	248	240	234	188	208	239	259	242	244	235	301
45	37.2	306	239	262	246	257	217	221	228	296	217	280
60	37.1	221	266	220	235	244	249	263	282	281	288	321
75	36.9	212	227	249	242	230	189	221	232	248	249	273
90	36.9	236	247	272	333	252	218	307	269	218	232	241
105	37	237	202	299	277	223	230	227	213	212	267	225
120	37.1	238	251	278	252	240	253	252	253	249	266	260
135	37	202	244	280	240	217	208	232	282	293	215	293
150	37	277	276	291	252	328	275	298	302	302	285	263
165	37	237	252	296	275	215	357	296	278	230	227	264
203.4	37.2	2541	2675	2548	2509	2356	2558	1659	1791	1614	1463	1640
215.3	37.1	3032	3045	2834	2551	2426	2676	1696	1807	1855	1548	1748
227.3	36.9	3111	3359	3144	2703	2657	2721	1823	1920	1848	1649	1557
239.2	37	3131	2990	3150	2689	2529	2791	1877	1797	1884	1483	1650
251.2	36.9	3239	3404	3343	2740	3047	2846	1950	1940	1764	1739	1695
263.1	37.1	3329	3211	3377	2987	2704	2849	1862	1876	1882	1688	1435
275	37.1	3319	3339	3596	2908	2935	2766	2006	1832	1832	1636	1599
287	37.3	3400	3380	3371	2913	3051	2824	1841	1893	2163	1688	1773
300	37	3371	3361	3433	3016	2941	2910	1874	2107	2145	1638	1600
315	36.8	3299	3325	3396	3008	3027	2980	1890	2003	1998	1642	1787
330	37.1	3581	3481	3481	2897	2787	2988	1953	2031	1955	1700	1573
345	37.1	3424	3482	3532	2802	2997	2895	2014	1951	1940	1711	1510
360	37.2	3434	3477	3334	2996	2985	2916	1800	1876	1941	1634	1517
375	37	3553	3458	3303	2997	2993	2873	1904	1994	2060	1532	1504
390	37	3187	3475	3456	3112	3003	2826	2142	1953	1896	1480	1545
405	37.1	3388	3598	3560	2997	2790	2896	1938	2007	1935	1588	1593
420	37	3305	3188	3596	2977	2969	3039	1928	1837	1866	1654	1586
435	37.3	3438	3185	3246	2906	2967	3002	1980	1967	1930	1548	1539
450	36.9	3259	3386	3528	2900	2935	3003	1829	1862	1975	1520	1673
465	36.8	3227	3349	3536	2900	2802	2830	1922	1879	1898	1521	1502
480	37.1	3342	3397	3380	2896	2827	2825	1917	1898	1985	1508	1601
495	37.1	3299	3326	3464	2885	2761	2997	1764	2064	1823	1522	1367
510	37.1	3263	3478	3218	2750	2884	3006	1875	1763	1946	1471	1538
525	37	3310	3339	3279	2743	2819	2664	1852	1855	1867	1422	1401
540	37	3375	3515	3215	2924	2614	2851	1874	1766	1835	1401	1486
555	37.1	3356	3239	3195	2634	2624	2661	1866	1810	1874	1387	1427
570	37.3	3157	3500	3183	2803	2761	2858	1799	1857	1931	1448	1390
